family_id	family_name	root	leaf	entrez_gene_id	gene_symbol
3	Fascins	1	1	6624	FSCN1
3	Fascins	1	1	25794	FSCN2
3	Fascins	1	1	29999	FSCN3
4	Abhydrolase domain containing	1	1	7920	ABHD16A
4	Abhydrolase domain containing	1	1	11057	ABHD2
4	Abhydrolase domain containing	1	1	25864	ABHD14A
4	Abhydrolase domain containing	1	1	26090	ABHD12
4	Abhydrolase domain containing	1	1	51099	ABHD5
4	Abhydrolase domain containing	1	1	51104	ABHD17B
4	Abhydrolase domain containing	1	1	55347	ABHD10
4	Abhydrolase domain containing	1	1	57406	ABHD6
4	Abhydrolase domain containing	1	1	58489	ABHD17C
4	Abhydrolase domain containing	1	1	63874	ABHD4
4	Abhydrolase domain containing	1	1	79575	ABHD8
4	Abhydrolase domain containing	1	1	79852	EPHX3
4	Abhydrolase domain containing	1	1	81926	ABHD17A
4	Abhydrolase domain containing	1	1	83451	ABHD11
4	Abhydrolase domain containing	1	1	84696	ABHD1
4	Abhydrolase domain containing	1	1	84836	ABHD14B
4	Abhydrolase domain containing	1	1	84945	ABHD13
4	Abhydrolase domain containing	1	1	116236	ABHD15
4	Abhydrolase domain containing	1	1	140701	ABHD16B
4	Abhydrolase domain containing	1	1	145447	ABHD12B
4	Abhydrolase domain containing	1	1	171586	ABHD3
4	Abhydrolase domain containing	1	1	253152	EPHX4
6	ZYG11 cell cycle regulator family	1	1	10444	ZER1
6	ZYG11 cell cycle regulator family	1	1	79699	ZYG11B
6	ZYG11 cell cycle regulator family	1	1	440590	ZYG11A
8	Zona pellucida glycoproteins	1	1	7783	ZP2
8	Zona pellucida glycoproteins	1	1	7784	ZP3
8	Zona pellucida glycoproteins	1	1	22917	ZP1
8	Zona pellucida glycoproteins	1	1	57829	ZP4
10	Vanins	1	1	8875	VNN2
10	Vanins	1	1	8876	VNN1
10	Vanins	1	1	55350	VNN3
12	Vesicle associated membrane proteins	0	1	6843	VAMP1
12	Vesicle associated membrane proteins	0	1	6844	VAMP2
12	Vesicle associated membrane proteins	0	1	6845	VAMP7
12	Vesicle associated membrane proteins	0	1	8673	VAMP8
12	Vesicle associated membrane proteins	0	1	8674	VAMP4
12	Vesicle associated membrane proteins	0	1	9341	VAMP3
12	Vesicle associated membrane proteins	0	1	10791	VAMP5
14	Wiskott-Aldrich Syndrome protein family	1	1	7454	WAS
14	Wiskott-Aldrich Syndrome protein family	1	1	8936	WASF1
14	Wiskott-Aldrich Syndrome protein family	1	1	8976	WASL
14	Wiskott-Aldrich Syndrome protein family	1	1	10163	WASF2
14	Wiskott-Aldrich Syndrome protein family	1	1	10810	WASF3
14	Wiskott-Aldrich Syndrome protein family	1	1	123720	WHAMM
14	Wiskott-Aldrich Syndrome protein family	1	1	133746	JMY
14	Wiskott-Aldrich Syndrome protein family	1	1	374666	WASH3P
14	Wiskott-Aldrich Syndrome protein family	1	1	374677	WASH4P
14	Wiskott-Aldrich Syndrome protein family	1	1	375260	WASH2P
14	Wiskott-Aldrich Syndrome protein family	1	1	375690	WASH5P
14	Wiskott-Aldrich Syndrome protein family	1	1	387122	WASF5P
14	Wiskott-Aldrich Syndrome protein family	1	1	644739	WASF4P
14	Wiskott-Aldrich Syndrome protein family	1	1	653440	WASH6P
14	Wiskott-Aldrich Syndrome protein family	1	1	653635	WASH7P
14	Wiskott-Aldrich Syndrome protein family	1	1	100287171	WASHC1
16	Cadherins	1	0	999	CDH1
16	Cadherins	1	0	1000	CDH2
16	Cadherins	1	0	1001	CDH3
16	Cadherins	1	0	1002	CDH4
16	Cadherins	1	0	1003	CDH5
16	Cadherins	1	0	1004	CDH6
16	Cadherins	1	0	1005	CDH7
16	Cadherins	1	0	1006	CDH8
16	Cadherins	1	0	1007	CDH9
16	Cadherins	1	0	1008	CDH10
16	Cadherins	1	0	1009	CDH11
16	Cadherins	1	0	1010	CDH12
16	Cadherins	1	0	1012	CDH13
16	Cadherins	1	0	1013	CDH15
16	Cadherins	1	0	1014	CDH16
16	Cadherins	1	0	1015	CDH17
16	Cadherins	1	0	1016	CDH18
16	Cadherins	1	0	1823	DSC1
16	Cadherins	1	0	1824	DSC2
16	Cadherins	1	0	1825	DSC3
16	Cadherins	1	0	1828	DSG1
16	Cadherins	1	0	1829	DSG2
16	Cadherins	1	0	1830	DSG3
16	Cadherins	1	0	1951	CELSR3
16	Cadherins	1	0	1952	CELSR2
16	Cadherins	1	0	2195	FAT1
16	Cadherins	1	0	2196	FAT2
16	Cadherins	1	0	5097	PCDH1
16	Cadherins	1	0	5098	PCDHGC3
16	Cadherins	1	0	5099	PCDH7
16	Cadherins	1	0	5100	PCDH8
16	Cadherins	1	0	5101	PCDH9
16	Cadherins	1	0	5979	RET
16	Cadherins	1	0	8641	PCDHGB4
16	Cadherins	1	0	8642	DCHS1
16	Cadherins	1	0	9620	CELSR1
16	Cadherins	1	0	9708	PCDHGA8
16	Cadherins	1	0	9746	CLSTN3
16	Cadherins	1	0	9752	PCDHA9
16	Cadherins	1	0	22883	CLSTN1
16	Cadherins	1	0	26025	PCDHGA12
16	Cadherins	1	0	26167	PCDHB5
16	Cadherins	1	0	26307	PCDHA14
16	Cadherins	1	0	27253	PCDH17
16	Cadherins	1	0	27328	PCDH11X
16	Cadherins	1	0	28316	CDH20
16	Cadherins	1	0	28513	CDH19
16	Cadherins	1	0	29930	PCDHB1
16	Cadherins	1	0	51294	PCDH12
16	Cadherins	1	0	53841	CDHR5
16	Cadherins	1	0	54510	PCDH18
16	Cadherins	1	0	54660	PCDHB18P
16	Cadherins	1	0	54661	PCDHB17P
16	Cadherins	1	0	54798	DCHS2
16	Cadherins	1	0	54825	CDHR2
16	Cadherins	1	0	56097	PCDHGC5
